Date,Open,High,Low,Close
09/10/2024,"40,916.50","40,916.50","40,417.48","40,736.96"
09/09/2024,"40,555.11","41,000.24","40,518.06","40,829.59"
09/06/2024,"40,756.81","41,009.39","40,297.33","40,345.41"
09/05/2024,"41,056.33","41,084.78","40,519.08","40,755.75"
09/04/2024,"40,872.06","41,172.59","40,840.89","40,974.97"
09/03/2024,"41,489.67","41,489.67","40,778.09","40,936.93"
08/30/2024,"41,366.16","41,585.21","41,145.85","41,563.08"
08/29/2024,"41,345.50","41,577.97","41,086.81","41,335.05"
08/28/2024,"41,250.17","41,351.11","40,842.29","41,091.42"
08/27/2024,"41,186.28","41,271.75","41,109.42","41,250.50"
08/26/2024,"41,200.84","41,420.05","41,140.23","41,240.52"
08/23/2024,"40,879.12","41,207.92","40,842.96","41,175.08"
08/22/2024,"40,932.23","41,026.64","40,584.47","40,712.78"
08/21/2024,"40,881.03","40,974.40","40,738.43","40,890.49"
08/20/2024,"40,874.52","40,909.38","40,756.65","40,834.97"
08/19/2024,"40,670.83","40,907.32","40,670.83","40,896.53"
08/16/2024,"40,528.86","40,726.03","40,453.58","40,659.76"
08/15/2024,"40,295.74","40,590.51","40,295.74","40,563.06"
08/14/2024,"39,800.59","40,068.75","39,737.20","40,008.39"
08/13/2024,"39,445.27","39,792.80","39,392.41","39,765.64"
08/12/2024,"39,556.01","39,587.06","39,251.72","39,357.01"
08/09/2024,"39,408.06","39,628.66","39,230.43","39,497.54"
08/08/2024,"38,940.38","39,508.40","38,922.79","39,446.49"
08/07/2024,"39,230.09","39,477.96","38,731.51","38,763.45"
08/06/2024,"38,736.22","39,449.53","38,638.30","38,997.66"
08/05/2024,"39,056.19","39,056.19","38,499.27","38,703.27"
08/02/2024,"40,075.33","40,075.33","39,358.68","39,737.26"
08/01/2024,"40,916.96","41,096.66","40,098.57","40,347.97"
07/31/2024,"40,768.88","41,198.63","40,655.89","40,842.79"
07/30/2024,"40,622.13","40,866.25","40,529.10","40,743.33"
07/29/2024,"40,665.71","40,682.49","40,388.83","40,539.93"
07/26/2024,"40,140.86","40,753.83","40,140.86","40,589.34"
07/25/2024,"39,828.63","40,438.82","39,817.50","39,935.07"
07/24/2024,"40,210.63","40,258.44","39,807.45","39,853.87"
07/23/2024,"40,443.73","40,527.89","40,319.70","40,358.09"
07/22/2024,"40,414.49","40,472.53","40,222.77","40,415.44"
07/19/2024,"40,592.35","40,626.16","40,203.27","40,287.53"
07/18/2024,"41,156.56","41,376.00","40,597.50","40,665.02"
07/17/2024,"40,862.57","41,221.98","40,849.71","41,198.08"
07/16/2024,"40,263.78","40,988.81","40,263.78","40,954.48"
07/15/2024,"40,138.40","40,351.10","40,136.10","40,211.72"
07/12/2024,"39,783.28","40,257.24","39,783.28","40,000.90"
07/11/2024,"39,695.18","39,875.60","39,623.12","39,753.75"
07/10/2024,"39,272.45","39,736.20","39,256.72","39,721.36"
07/09/2024,"39,357.37","39,492.28","39,146.60","39,291.97"
07/08/2024,"39,391.98","39,654.96","39,278.43","39,344.79"
07/05/2024,"39,313.40","39,399.62","39,168.70","39,375.87"
07/03/2024,"39,358.95","39,411.17","39,230.86","39,308.00"
07/02/2024,"39,108.25","39,340.49","39,085.69","39,331.85"
07/01/2024,"39,186.20","39,438.36","39,037.94","39,169.52"
06/28/2024,"39,092.39","39,443.60","38,937.15","39,118.86"
06/27/2024,"39,107.10","39,250.69","39,026.75","39,164.06"
06/26/2024,"39,063.15","39,183.74","38,908.99","39,127.80"
06/25/2024,"39,398.79","39,423.26","38,997.23","39,112.16"
06/24/2024,"39,184.49","39,571.23","39,184.49","39,411.21"
06/21/2024,"39,208.51","39,257.18","39,061.67","39,150.33"
06/20/2024,"38,804.73","39,232.50","38,778.46","39,134.76"
06/18/2024,"38,779.12","38,936.93","38,727.67","38,834.86"
06/17/2024,"38,565.18","38,839.88","38,431.95","38,778.10"
06/14/2024,"38,528.39","38,595.24","38,305.85","38,589.16"
06/13/2024,"38,677.12","38,712.21","38,407.70","38,647.10"
06/12/2024,"38,950.65","39,120.26","38,621.45","38,712.21"
06/11/2024,"38,795.71","38,795.71","38,446.24","38,747.42"
06/10/2024,"38,784.90","38,877.86","38,665.45","38,868.04"
06/07/2024,"38,861.24","39,105.23","38,751.85","38,798.99"
06/06/2024,"38,825.40","39,004.16","38,735.99","38,886.17"
06/05/2024,"38,774.82","38,844.32","38,548.77","38,807.33"
06/04/2024,"38,518.86","38,786.62","38,397.82","38,711.29"
06/03/2024,"38,709.99","38,735.61","38,247.22","38,571.03"
05/31/2024,"38,140.26","38,719.43","38,092.27","38,686.32"
05/30/2024,"38,368.35","38,493.60","38,000.96","38,111.48"
05/29/2024,"38,716.28","38,716.28","38,413.67","38,441.54"
05/28/2024,"39,028.99","39,028.99","38,706.14","38,852.86"
05/24/2024,"39,089.23","39,220.31","39,020.29","39,069.59"
05/23/2024,"39,694.95","39,694.95","39,025.51","39,065.26"
05/22/2024,"39,863.33","39,890.91","39,559.09","39,671.04"
05/21/2024,"39,804.40","39,905.80","39,778.73","39,872.99"
05/20/2024,"39,989.76","40,077.40","39,787.09","39,806.77"
05/17/2024,"39,911.72","40,010.88","39,858.86","40,003.59"
05/16/2024,"39,912.34","40,051.05","39,864.68","39,869.38"
05/15/2024,"39,615.10","39,935.04","39,615.10","39,908.00"
05/14/2024,"39,466.76","39,616.41","39,371.92","39,558.11"
05/13/2024,"39,591.28","39,647.39","39,403.05","39,431.51"
05/10/2024,"39,466.52","39,579.88","39,406.26","39,512.84"
05/09/2024,"39,064.27","39,413.66","38,988.85","39,387.76"
05/08/2024,"38,818.90","39,094.74","38,814.99","39,056.39"
05/07/2024,"38,858.94","38,977.61","38,840.40","38,884.26"
05/06/2024,"38,762.43","38,886.47","38,689.38","38,852.27"
05/03/2024,"38,709.36","38,808.52","38,518.28","38,675.68"
05/02/2024,"38,075.65","38,295.29","37,895.66","38,225.66"
05/01/2024,"37,845.56","38,349.20","37,780.54","37,903.29"
04/30/2024,"38,337.40","38,337.40","37,810.12","37,815.92"
04/29/2024,"38,282.16","38,406.20","38,215.47","38,386.09"
04/26/2024,"38,114.70","38,337.64","38,065.05","38,239.66"
04/25/2024,"38,052.09","38,157.22","37,754.38","38,085.80"
04/24/2024,"38,552.79","38,552.79","38,310.55","38,460.92"
04/23/2024,"38,356.07","38,561.50","38,297.72","38,503.69"
04/22/2024,"38,116.89","38,447.16","37,985.07","38,239.98"
04/19/2024,"37,801.98","38,102.57","37,781.61","37,986.40"
04/18/2024,"37,847.21","38,083.76","37,681.52","37,775.38"
04/17/2024,"37,949.67","38,036.70","37,611.56","37,753.31"
04/16/2024,"37,992.22","37,992.22","37,713.70","37,798.97"
04/15/2024,"38,075.38","38,386.81","37,657.79","37,735.11"
04/12/2024,"38,319.14","38,319.14","37,877.30","37,983.24"
04/11/2024,"38,523.26","38,598.98","38,197.28","38,459.08"
04/10/2024,"38,662.28","38,662.28","38,304.66","38,461.51"
04/09/2024,"38,983.66","38,992.89","38,572.09","38,883.67"
04/08/2024,"38,916.42","39,013.20","38,857.70","38,892.80"
04/05/2024,"38,664.98","39,040.17","38,602.18","38,904.04"
04/04/2024,"39,343.60","39,421.35","38,559.42","38,596.98"
04/03/2024,"39,139.59","39,305.76","39,017.13","39,127.14"
04/02/2024,"39,256.27","39,256.27","39,051.70","39,170.24"
04/01/2024,"39,807.93","39,815.00","39,491.22","39,566.85"
03/28/2024,"39,763.74","39,868.59","39,717.25","39,807.37"
03/27/2024,"39,461.98","39,769.41","39,461.98","39,760.08"
03/26/2024,"39,338.32","39,439.44","39,277.19","39,282.33"
03/25/2024,"39,410.54","39,430.17","39,296.03","39,313.64"
03/22/2024,"39,774.06","39,824.76","39,469.53","39,475.90"
03/21/2024,"39,661.03","39,889.05","39,589.23","39,781.37"
03/20/2024,"39,072.05","39,529.13","38,988.65","39,512.13"
03/19/2024,"38,819.61","39,122.71","38,761.28","39,110.76"
03/18/2024,"38,826.93","38,898.41","38,760.79","38,790.43"
03/15/2024,"38,809.65","38,928.13","38,618.20","38,714.77"
03/14/2024,"39,122.39","39,160.25","38,704.36","38,905.66"
03/13/2024,"39,054.58","39,201.94","38,937.92","39,043.32"
03/12/2024,"38,883.32","39,071.56","38,711.39","39,005.49"
03/11/2024,"38,667.21","38,794.76","38,483.25","38,769.66"
03/08/2024,"38,776.80","38,971.15","38,705.03","38,722.69"
03/07/2024,"38,784.30","38,910.35","38,730.13","38,791.35"
03/06/2024,"38,721.15","38,858.13","38,570.80","38,661.05"
03/05/2024,"38,906.98","38,906.98","38,457.83","38,585.19"
03/04/2024,"38,968.77","39,087.86","38,913.30","38,989.83"
03/01/2024,"38,989.51","39,120.36","38,850.50","39,087.38"
02/29/2024,"39,013.75","39,074.13","38,809.28","38,996.39"
02/28/2024,"38,938.08","38,956.46","38,741.68","38,949.02"
02/27/2024,"39,087.90","39,087.90","38,881.90","38,972.41"
02/26/2024,"39,144.79","39,245.89","39,025.80","39,069.23"
02/23/2024,"39,127.97","39,282.28","39,094.36","39,131.53"
02/22/2024,"38,845.19","39,149.61","38,802.07","39,069.11"
02/21/2024,"38,483.66","38,618.03","38,338.58","38,612.24"
02/20/2024,"38,576.26","38,663.09","38,460.20","38,563.80"
02/16/2024,"38,751.71","38,825.03","38,583.24","38,627.99"
02/15/2024,"38,397.94","38,781.89","38,397.94","38,773.12"
02/14/2024,"38,372.67","38,442.56","38,194.62","38,424.27"
02/13/2024,"38,699.17","38,699.17","38,039.86","38,272.75"
02/12/2024,"38,656.76","38,927.08","38,628.92","38,797.38"
02/09/2024,"38,731.97","38,734.28","38,567.90","38,671.69"
02/08/2024,"38,702.11","38,755.68","38,544.36","38,726.33"
02/07/2024,"38,613.89","38,748.11","38,571.01","38,677.36"
02/06/2024,"38,392.90","38,545.28","38,350.46","38,521.36"
02/05/2024,"38,546.77","38,633.88","38,220.40","38,380.12"
02/02/2024,"38,448.10","38,783.62","38,336.57","38,654.42"
02/01/2024,"38,175.34","38,522.50","38,106.84","38,519.84"
01/31/2024,"38,426.78","38,588.86","38,139.66","38,150.30"
01/30/2024,"38,298.23","38,497.39","38,257.80","38,467.31"
01/29/2024,"38,115.83","38,343.93","38,061.17","38,333.45"
01/26/2024,"38,006.68","38,215.31","37,997.77","38,109.43"
01/25/2024,"37,862.57","38,057.53","37,796.47","38,049.13"
01/24/2024,"37,975.37","38,064.22","37,795.71","37,806.39"
01/23/2024,"37,959.79","37,980.73","37,804.99","37,905.45"
01/22/2024,"37,919.55","38,109.20","37,911.61","38,001.81"
01/19/2024,"37,572.50","37,933.73","37,451.71","37,863.80"
01/18/2024,"37,300.81","37,522.29","37,122.95","37,468.61"
01/17/2024,"37,281.86","37,371.66","37,132.89","37,266.67"
01/16/2024,"37,493.54","37,543.18","37,201.39","37,361.12"
01/12/2024,"37,818.05","37,825.27","37,470.19","37,592.98"
01/11/2024,"37,747.14","37,801.90","37,424.28","37,711.02"
01/10/2024,"37,552.91","37,740.77","37,524.40","37,695.73"
01/09/2024,"37,523.55","37,552.38","37,373.30","37,525.16"
01/08/2024,"37,327.37","37,692.92","37,249.24","37,683.01"
01/05/2024,"37,455.46","37,623.62","37,323.82","37,466.11"
01/04/2024,"37,425.28","37,716.41","37,425.28","37,440.34"
01/03/2024,"37,629.23","37,629.23","37,401.85","37,430.19"
01/02/2024,"37,566.22","37,790.08","37,495.91","37,715.04"
12/29/2023,"37,701.63","37,759.43","37,538.80","37,689.54"
12/28/2023,"37,661.52","37,778.85","37,650.98","37,710.10"
12/27/2023,"37,518.62","37,683.70","37,488.60","37,656.52"
12/26/2023,"37,405.90","37,617.99","37,371.83","37,545.33"
12/22/2023,"37,349.27","37,534.52","37,268.88","37,385.97"
12/21/2023,"37,225.32","37,418.76","37,127.05","37,404.35"
12/20/2023,"37,520.13","37,641.30","37,073.04","37,082.00"
12/19/2023,"37,311.82","37,562.83","37,311.82","37,557.92"
12/18/2023,"37,330.14","37,393.45","37,284.85","37,306.02"
12/15/2023,"37,194.50","37,347.60","37,092.02","37,305.16"
12/14/2023,"37,115.63","37,287.50","37,051.52","37,248.35"
12/13/2023,"36,601.80","37,094.85","36,523.59","37,090.24"
12/12/2023,"36,442.10","36,596.11","36,373.22","36,577.94"
12/11/2023,"36,254.33","36,416.18","36,231.19","36,404.93"
12/08/2023,"36,084.82","36,296.20","36,061.64","36,247.87"
12/07/2023,"36,124.17","36,164.17","36,021.95","36,117.38"
12/06/2023,"36,183.73","36,292.58","36,024.25","36,054.43"
12/05/2023,"36,135.65","36,164.68","36,010.85","36,124.56"
12/04/2023,"36,089.38","36,238.18","36,029.69","36,204.44"
12/01/2023,"35,914.45","36,264.85","35,914.45","36,245.50"
11/30/2023,"35,596.57","35,970.70","35,592.22","35,950.89"
11/29/2023,"35,436.80","35,579.13","35,405.89","35,430.42"
11/28/2023,"35,332.13","35,518.67","35,307.73","35,416.98"
11/27/2023,"35,376.44","35,410.37","35,280.57","35,333.47"
11/24/2023,"35,299.90","35,399.44","35,299.90","35,390.15"
11/22/2023,"35,189.33","35,315.20","35,155.80","35,273.03"
11/21/2023,"35,104.84","35,118.04","35,038.44","35,088.29"
11/20/2023,"34,932.49","35,227.48","34,907.98","35,151.04"
11/17/2023,"34,964.82","35,028.22","34,882.82","34,947.28"
11/16/2023,"34,868.03","35,022.46","34,818.03","34,945.47"
11/15/2023,"34,906.72","35,051.10","34,868.48","34,991.21"
11/14/2023,"34,581.20","34,931.01","34,581.20","34,827.70"
11/13/2023,"34,259.25","34,405.84","34,205.81","34,337.87"
11/10/2023,"34,020.82","34,310.36","33,905.62","34,283.10"
11/09/2023,"34,163.71","34,167.54","33,859.77","33,891.94"
11/08/2023,"34,185.92","34,252.75","33,996.20","34,112.27"
11/07/2023,"34,075.65","34,206.98","34,026.72","34,152.60"
11/06/2023,"34,092.61","34,167.26","33,989.72","34,095.86"
11/03/2023,"33,988.83","34,163.63","33,946.60","34,061.32"
11/02/2023,"33,457.82","33,852.96","33,450.03","33,839.08"
11/01/2023,"33,081.87","33,337.15","33,010.85","33,274.58"
10/31/2023,"33,029.11","33,070.28","32,787.12","33,052.87"
10/30/2023,"32,537.54","33,002.97","32,537.54","32,928.96"
10/27/2023,"32,782.40","32,787.56","32,327.20","32,417.59"
10/26/2023,"33,017.17","33,105.03","32,743.99","32,784.30"
10/25/2023,"33,203.53","33,267.91","32,989.72","33,035.93"
